"ID","Navigation","Business","Catalogues","Travel","Books","PhotoVideo","Lifestyle","Entertainment","Finance","News","Health","Games","Food","Education","Medical","SocialNetworking","Reference","Sports","Utilities","Weather","Productivity","Music","Other"
"142",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,"1","1","1","1",NA
"143",NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA
"144","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",NA
"145",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,NA,"1","1",NA,NA,"1",NA,"1",NA,NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,"1",NA,"1","1","1",NA,"1",NA,"1",NA,NA,"1","1",NA,NA,"1",NA,"1",NA,NA
"148",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA
"149","1",NA,NA,"1","1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"1","1",NA
"150","1",NA,"1","1","1","1","1","1","1","1",NA,"1","1","1",NA,"1",NA,"1","1",NA,"1","1",NA
"151",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,"1",NA,NA,"1","1","1",NA,NA
"152","1",NA,NA,"1","1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA
"153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","1",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,"1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1","1",NA
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"159",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA
"160","1","1",NA,"1",NA,"1",NA,"1",NA,"1","1","1","1","1","1","1","1",NA,"1","1","1","1",NA
"161","1",NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA
"162",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA
"163","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA
"165","1","1",NA,"1","1","1","1",NA,"1","1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA
"166","1",NA,NA,"1","1","1",NA,NA,"1","1","1","1",NA,"1","1","1",NA,NA,"1","1","1","1",NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1",NA,NA
"173","1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,NA
"174",NA,NA,NA,"1",NA,"1",NA,NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"175",NA,"1",NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA
"177","1","1",NA,"1","1",NA,"1",NA,"1","1","1",NA,"1","1","1","1","1",NA,"1","1","1",NA,NA
"178","1",NA,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"179",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
