"ID","AppStore","PriceSensitive","WhyDownload","Gender","Age","Nationality","Education","YearsEdu","Occupation","Currency","HH.Income"
"878","Windows",NA,"Angry birds","Male","25","Spanish","2","12","Transport","EUR","4"
"879","iOS","Yes","Weiss nicht","Female","28","German","6","20","Off & Admin Sup","EUR","5"
"880","Nokia",NA,"!!!","Female","53","French","5","20","Off & Admin Sup","EUR","4"
"881","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","Not sure",NA,NA,"Male","75","Japanese","5","16","Mgmt","JPY","5"
"886","Samsung",NA,"OfficeSuite Professional 6 6.5.1003","Male","38","Russian","3","19","Comp & Math","RUB","7"
"887","Windows","Yes","cant remember","Female","42","French","2","11","Protective Svcs","GBP","4"
"888","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","Other",NA,"<U+899A><U+3048><U+3066><U+3044><U+306A><U+3044>","Male","74","Japanese","5","17","Other","JPY","6"
"890","Android","Yes","tinny cam monitor","Female","35","Spanish","3","19","Life, Phys & Soc Sci","EUR","7"
"891","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","iOS",NA,NA,"Female","42","German","4","12","Prsn Care & Svcs","EUR","7"
"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","Samsung",NA,NA,"Female","53","French","2","15","Bldg & Grnd Clng","EUR","4"
"898","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","Blackberry",NA,"volo","Female","38","Italian","3","13","Off & Admin Sup","EUR","5"
"900","Android","Yes",NA,"Male","39","German","3","17","Biz & Fin Ops","EUR","7"
"901","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902","Android",NA,NA,"Male","33","German","4","15","Sales","EUR","5"
"903","Nokia","Yes",NA,"Female","40","Spanish","4","10","Constrn & Ext","EUR","3"
"904","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"906","Blackberry","Yes","ebay","Female","47","French","2","15","Edu, Trng & Lib","EUR","3"
